N3,N2,N1
551a,55,5
552a,55,5
553b,55,5
553c,55,5
554a,55,5
554b,55,5
554c,55,5
554d,55,5
554e,55,5
554f,55,5
554g,55,5
554h,55,5
554j,55,5
555a,55,5
556a,55,5
561b,56,5
561c,56,5
561d,56,5
561e,56,5
561f,56,5
562a,56,5
562b,56,5
563a,56,5
563b,56,5
563c,56,5
564a,56,5
564b,56,5
621a,62,6
621b,62,6
621c,62,6
621d,62,6
621e,62,6
621f,62,6
621g,62,6
622a,62,6
622c,62,6
622d,62,6
622e,62,6
622f,62,6
622g,62,6
623a,62,6
623b,62,6
623d,62,6
623e,62,6
623f,62,6
623g,62,6
624b,62,6
624c,62,6
624d,62,6
624e,62,6
624f,62,6
624g,62,6
625a,62,6
625b,62,6
625c,62,6
625d,62,6
625f,62,6
625g,62,6
625h,62,6
626a,62,6
626b,62,6
626c,62,6
627a,62,6
627b,62,6
627c,62,6
627d,62,6
627e,62,6
627f,62,6
628a,62,6
628b,62,6
628c,62,6
628d,62,6
628e,62,6
628f,62,6
628g,62,6
631a,63,6
632a,63,6
632b,63,6
632c,63,6
632d,63,6
632e,63,6
632f,63,6
632g,63,6
632h,63,6
632j,63,6
632k,63,6
633a,63,6
633b,63,6
633c,63,6
633d,63,6
634a,63,6
634b,63,6
634c,63,6
634d,63,6
635a,63,6
636a,63,6
636b,63,6
636c,63,6
636d,63,6
637a,63,6
637b,63,6
637c,63,6
637d,63,6
641a,64,6
641b,64,6
642a,64,6
642b,64,6
643a,64,6
644a,64,6
651a,65,6
651b,65,6
652a,65,6
652b,65,6
653a,65,6
654b,65,6
654c,65,6
655a,65,6
656b,65,6
656c,65,6
671a,67,6
671c,67,6
671d,67,6
672a,67,6
673a,67,6
673b,67,6
673c,67,6
674a,67,6
674b,67,6
674c,67,6
674d,67,6
674e,67,6
675a,67,6
675b,67,6
675c,67,6
676a,67,6
676b,67,6
676c,67,6
676d,67,6
676e,67,6
681a,68,6
681b,68,6
682a,68,6
683a,68,6
684a,68,6
684b,68,6
685a,68,6
691a,69,6
691b,69,6
691c,69,6
691d,69,6
691e,69,6
691f,69,6
692a,69,6
