"household_type","job_dep","work_condition","DEGREE","Employer_category","JOB_CATEGORY","Job_description","type_of_contract","working_hours","employee_count","INSEE_CODE","Age_2019","activity_sector","Sex","Wage"
"M_3_2","62","P","educ|1|3","ct_2","O","563b","CDD",43,"tr_2","62469",50,"OZ","Female",227
"M_4_1","67","P","educ|1|3","ct_2","O","563b","AUT",1331,"tr_3","67212",41,"QB","Female",16099
"M_4_3","67","C","educ|1|3","ct_7","O","563c","CDI",144,"tr_1","67482",65,"TZ","Female",1975
"M_4_1","68","P","educ|1|3","ct_6","O","561b","CDI",788,"tr_1","68249",50,"IZ","Female",8855
"M_4_3","69","P","educ|1|3","ct_2","O","523c","CDD",293,"tr_6","69387",20,"OZ","Female",3895
"M_4_1","69","C","educ|1|3","ct_9","O","643a","CDI",1834,"tr_4","69388",31,"HZ","Female",19615
"M_4_1","69","Y","educ|1|3","ct_8","O","435b","TOA",259,"tr_1","69389",18,"RZ","Female",2457
"M_4_1","76","C","educ|1|3","ct_6","O","562b","CDI",1770,"tr_1","76351",38,"SZ","Female",14821
"M_4_1","76","D","educ|1|3","ct_7","O","563a","CDI",3000,"tr_1","76451",29,"QB","Female",11396
"M_4_1","75","C","educ|1|3","ct_9","O","632a","CDI",1899,"tr_1","77083",48,"LZ","Male",24031
"M_4_1","44","P","educ|1|3","ct_9","O","641b","CDI",909,"tr_5","77257",60,"HZ","Male",8825
"M_4_1","91","C","educ|1|3","ct_9","O","632g","CDI",1458,"tr_1","77514",48,"FZ","Male",18893
"M_4_1","78","C","educ|1|3","ct_9","O","636a","CDI",1670,"tr_1","78172",35,"GZ","Male",12927
"M_4_3","80","F","educ|1|3","ct_9","O","561f","TOA",790,"tr_3","80618",24,"IZ","Female",6758
"M_4_1","83","C","educ|1|3","ct_7","O","563c","CDI",186,"tr_1","83126",31,"TZ","Female",2741
"M_4_3","75","C","educ|1|3","ct_7","O","563c","CDI",790,"tr_1","89079",61,"TZ","Female",7952
"M_4_1","93","C","educ|1|3","ct_2","O","525a","CDD",1803,"tr_6","91552",36,"OZ","Female",19692
"M_3_2","93","P","educ|1|3","ct_6","O","563b","CDI",NA,"tr_4","93005",51,"QB","Female",368
"M_4_1","94","P","educ|1|3","ct_9","O","562b","AUT",1213,"tr_1","94016",31,"SZ","Female",11127
"M_4_1","75","C","educ|1|3","ct_7","O","563a","CDI",1770,"tr_1","94058",37,"TZ","Female",13847
"M_4_1","94","D","educ|1|3","ct_7","O","563a","CDI",691,"tr_1","94075",33,"QB","Female",11781
"M_4_1","75","P","educ|1|3","ct_9","O","561c","CDI",909,"tr_3","94080",30,"IZ","Female",7673
"M_4_1","91","C","educ|1|3","ct_9","O","632a","CDI",1250,"tr_1","95219",45,"FZ","Male",16375
"M_3_1","91","C","educ|1|3","ct_9","O","681a","CDI",2106,"tr_2","95268",44,"FZ","Male",21106
"M_4_2","95","C","educ|1|3","ct_9","O","634c","CDI",2131,"tr_1","95355",32,"GZ","Male",19800
"M_4_2","95","P","educ|1|3","ct_9","O","556a","CDI",1512,"tr_1","95598",21,"GZ","Female",13665
"M_1_2","33","P","educ|1|4","ct_9","O","561d","CDI",942,"tr_4","33200",20,"IZ","Female",9551
"M_4_3","35","P","educ|1|4","ct_9","O","556a","CDI",1459,"tr_5","35066",41,"GZ","Female",16262
"M_4_1","59","P","educ|1|4","ct_9","O","561b","CDI",791,"tr_6","59291",55,"IZ","Female",8208
"M_4_1","59","D","educ|1|4","ct_7","O","563a","CDI",1110,"tr_1","59599",41,"QB","Female",4572
"M_4_1","60","P","educ|1|4","ct_8","O","564b","CDI",1106,"tr_1","60159",49,"SZ","Female",12106
"M_4_1","62","C","educ|1|4","ct_8","O","526d","CDI",1820,"tr_4","62525",33,"QB","Female",15894
"M_4_1","69","P","educ|1|4","ct_6","O","563b","CDI",1263,"tr_4","69115",22,"SZ","Female",8420
"M_3_1","69","P","educ|1|4","ct_9","O","554a","CDI",1234,"tr_2","69189",23,"CA","Female",11103
"M_4_1","69","F","educ|1|4","ct_7","O","563b","CDI",348,"tr_1","69264",27,"QB","Female",2589
"M_1_2","69","P","educ|1|4","ct_9","O","563c","CDI",599,"tr_2","69383",22,"QB","Female",17441
"M_1_1","44","K","educ|1|4","ct_9","O","353c","TOA",312,"tr_1","75102",41,"JA","Male",13802
"M_3_2","59","D","educ|1|4","ct_9","O","543h","TOA",NA,"tr_5","77333",51,"GZ","Female",233
"M_4_3","78","C","educ|1|4","ct_2","O","563b","CDD",1820,"tr_5","78320",23,"OZ","Female",16180
"M_2_0","94","K","educ|1|4","ct_9","X","564b","AUT",203,"tr_4","93048",20,"CH","Male",531
"M_1_2","31","D","educ|1|5","ct_7","O","563a","CDI",2550,"tr_1","31210",30,"QB","Female",9814
"M_2_0","75","P","educ|1|5","ct_8","O","564b","CDI",1568,"tr_1","33003",32,"SZ","Female",30808
"M_4_1","33","D","educ|1|5","ct_7","O","563a","CDI",2866,"tr_1","33097",40,"QB","Female",13125
"M_4_1","33","C","educ|1|5","ct_7","O","563c","CDI",1509,"tr_1","33357",44,"TZ","Female",15783
"M_4_1","34","C","educ|1|5","ct_9","O","561c","CDI",1793,"tr_2","34172",47,"IZ","Female",15357
"M_1_2","35","C","educ|1|5","ct_2","O","563b","AUT",1727,"tr_3","35229",20,"QB","Female",15546
"M_4_1","38","D","educ|1|5","ct_7","O","563a","CDI",2538,"tr_1","38529",29,"QB","Female",20262
"M_4_1","69","C","educ|1|5","ct_8","O","563b","CDI",1836,"tr_3","69387",53,"QB","Female",16157
"M_4_1","74","P","educ|1|5","ct_9","O","562a","CDI",349,"tr_1","74010",25,"SZ","Female",3948
"M_4_1","92","C","educ|1|5","ct_9","O","543f","CDI",1840,"tr_4","75118",33,"KZ","Female",25958
"M_4_1","75","C","educ|1|5","ct_9","O","636d","CDI",2012,"tr_2","77327",48,"IZ","Male",18782
"M_4_1","86","C","educ|1|5","ct_9","O","561d","CDI",1825,"tr_6","86041",31,"IZ","Female",20082
"M_4_1","92","C","educ|1|5","ct_9","O","562a","CDD",1820,"tr_1","93001",23,"SZ","Female",16861
"M_4_1","08","P","educ|1|6","ct_9","O","552a","CDI",1059,"tr_3","08409",33,"GZ","Female",8465
"M_4_1","13","C","educ|1|6","ct_9","O","684a","CDI",2747,"tr_6","13054",50,"NZ","Male",23751
"M_3_2","13","C","educ|1|6","ct_4","X","525d","AUT",932,"tr_5","13213",22,"SZ","Male",8563
"M_4_1","13","C","educ|1|6","ct_8","O","431f","CDI",568,"tr_5","13215",43,"QB","Female",11402
"M_4_1","18","D","educ|1|6","ct_7","O","563a","CDI",3000,"tr_1","18279",46,"QB","Female",10301
"M_4_1","28","C","educ|1|6","ct_9","O","552a","CDI",1741,"tr_2","28084",44,"GZ","Female",19029
"M_1_2","29","P","educ|1|6","ct_8","O","526a","CDI",1608,"tr_4","29147",35,"QB","Female",17671
"M_1_2","30","P","educ|1|6","ct_6","O","433d","CDI",1609,"tr_1","30004",49,"GZ","Female",23214
"M_3_2","31","P","educ|1|6","ct_6","O","554a","CDD",1313,"tr_1","31035",19,"CA","Female",10062
"M_4_1","31","C","educ|1|6","ct_9","O","545b","CDI",2046,"tr_1","31149",35,"KZ","Female",23975
"M_1_2","35","K","educ|1|6","ct_3","O","525d","CDD",295,"tr_5","35125",22,"QA","Female",4146
"M_1_2","38","C","educ|1|6","ct_9","O","462e","CDI",1716,"tr_1","38158",35,"GZ","Female",21076
"M_4_1","59","C","educ|1|6","ct_2","O","421b","AUT",607,"tr_1","59028",25,"PZ","Female",5584
"M_4_1","59","F","educ|1|6","ct_7","O","563b","CDI",371,"tr_1","59344",41,"QB","Female",2940
"M_4_2","95","C","educ|1|6","ct_3","O","431f","CDD",1818,"tr_6","60613",22,"QA","Female",20509
"M_4_1","62","D","educ|1|6","ct_7","O","563a","CDI",2864,"tr_1","62510",45,"QB","Female",9643
"M_4_4","75","C","educ|1|6","ct_5","O","353b","CDI",1857,"tr_5","75116",41,"RZ","Male",35260
"M_4_1","75","C","educ|1|6","ct_7","O","563a","CDI",1779,"tr_1","75120",31,"TZ","Female",15217
"M_1_2","77","C","educ|1|6","ct_8","O","543b","CDI",1820,"tr_5","77491",26,"QB","Female",17748
"M_4_1","91","C","educ|1|6","ct_6","O","562b","CDI",658,"tr_1","91521",37,"SZ","Female",7109
"M_4_2","91","C","educ|1|6","ct_6","O","636c","CDI",1841,"tr_1","91661",29,"CA","Male",26533
"M_4_1","75","P","educ|1|6","ct_9","O","543c","CDD",973,"tr_1","92019",21,"PZ","Male",10351
"M_4_1","91","C","educ|1|6","ct_9","O","461f","CDI",1843,"tr_6","94078",53,"HZ","Male",31860
"M_4_1","78","P","educ|1|6","ct_8","O","525d","CDI",813,"tr_3","95252",19,"QB","Female",6224
"M_4_1","92","C","educ|1|6","ct_9","O","554a","CDI",2068,"tr_1","95539",21,"CA","Female",20497
"M_4_2","13","P","educ|1|7","ct_8","X","435b","AUT",1442,"tr_4","13215",24,"SZ","Female",9497
"M_4_1","31","P","educ|1|7","ct_9","O","552a","CDI",1267,"tr_2","31555",26,"GZ","Female",10945
"M_4_1","33","C","educ|1|7","ct_9","O","554e","CDI",1820,"tr_1","33119",37,"GZ","Female",13744
"M_4_1","59","C","educ|1|7","ct_1","O","422b","AUT",1820,"tr_5","59008",25,"PZ","Female",25448
"M_3_2","69","C","educ|1|7","ct_9","O","564b","CDI",1736,"tr_1","69264",27,"MA","Female",35409
"M_4_2","92","C","educ|1|7","ct_9","O","464a","CDI",130,"tr_5","75118",22,"MC","Male",1403
"M_4_1","78","C","educ|1|7","ct_9","O","543b","CDD",1856,"tr_6","78423",25,"CL","Female",21181
"M_4_1","75","C","educ|1|7","ct_6","O","561c","CDI",2028,"tr_2","93031",50,"IZ","Male",17019
"M_4_3","93","C","educ|1|7","ct_9","O","373d","CDI",1820,"tr_5","93079",60,"MA","Female",64165
"M_4_1","92","C","educ|1|7","ct_9","O","431f","CDI",1516,"tr_6","94060",39,"JB","Female",19886
"M_4_3","94","C","educ|1|7","ct_9","X","542a","AUT",1833,"tr_6","94076",21,"IZ","Female",14117
"M_4_1","38","P","educ|1|8","ct_8","O","461f","CDI",1638,"tr_4","38421",35,"QA","Female",18611
"M_2_0","13","C","educ|1|8","ct_3","O","344c","AUT",2108,"tr_6","69266",25,"QA","Male",19440
"M_1_1","75","C","educ|1|8","ct_9","O","554e","CDI",1646,"tr_3","75112",32,"GZ","Male",26091
"M_2_0","75","C","educ|1|8","ct_9","O","388a","CDI",1851,"tr_5","75114",33,"JC","Male",34387
"M_4_1","92","C","educ|1|8","ct_9","O","387b","CDI",1820,"tr_6","75115",35,"NZ","Female",32241
"M_1_1","92","C","educ|1|8","ct_1","O","341a","AUT",1820,"tr_4","75115",28,"PZ","Male",18691
"M_1_1","75","C","educ|1|8","ct_9","O","388b","CDI",1671,"tr_5","75119",33,"JC","Male",29270
"M_4_2","75","C","educ|1|8","ct_9","X","344c","CDD",809,"tr_4","78624",23,"MA","Male",5566
"M_4_1","92","C","educ|1|8","ct_9","O","372c","CDI",1978,"tr_6","92036",39,"KZ","Female",62851
"M_4_1","92","P","educ|1|8","ct_9","O","376b","CDI",1179,"tr_6","92060",39,"KZ","Female",31007
"M_4_3","13","D","educ|1","ct_7","O","563a","CDI",1287,"tr_0","13001",63,"QB","Female",3968
"M_3_2","13","C","educ|1","ct_7","O","563c","CDI",427,"tr_1","13054",63,"TZ","Female",5936
"M_4_1","75","P","educ|1","ct_8","X","561d","AUT",860,"tr_3","75111",56,"SZ","Female",8762
"M_2_0","93","C","educ|1","ct_9","O","561d","CDI",305,"tr_1","75112",55,"IZ","Female",3215
"M_4_2","75","C","educ|1","ct_6","O","636d","CDI",2156,"tr_3","93032",53,"IZ","Male",21704
"M_4_1","92","C","educ|1","ct_7","O","563c","CDI",1021,"tr_1","94022",32,"TZ","Female",12265
"M_1_2","95","C","educ|1","ct_7","O","563a","CDI",951,"tr_1","95446",58,"TZ","Female",12307
"M_1_1","13","P","educ|2","ct_8","X","685a","AUT",143,"tr_3","13215",47,"QB","Male",591
"M_2_0","44","C","educ|2","ct_6","A","561d","APP",233,"tr_1","44172",16,"IZ","Male",745
"M_3_2","69","C","educ|2","ct_7","O","563a","CDI",134,"tr_1","69259",37,"TZ","Female",675
"M_4_1","74","P","educ|2","ct_9","O","641b","TOA",86,"tr_3","74219",39,"HZ","Male",558
"M_1_2","76","C","educ|2","ct_6","O","562b","CDI",1523,"tr_1","76540",60,"SZ","Female",17104
"M_4_1","14","C","educ|2","ct_8","O","562b","CDI",2277,"tr_2","76727",25,"SZ","Female",22717
"M_4_1","77","C","educ|2","ct_8","O","526a","CDI",1535,"tr_3","77083",60,"QB","Female",14254
"M_1_1","77","C","educ|2","ct_8","X","676e","AUT",1806,"tr_4","77108",30,"QB","Male",8869
"M_4_1","77","C","educ|2","ct_7","O","563c","CDI",1445,"tr_1","77317",51,"TZ","Female",15034
"M_1_2","78","D","educ|2","ct_7","O","563a","CDI",378,"tr_1","78586",41,"QB","Female",1505
"M_4_1","75","C","educ|2","ct_9","O","634c","CDI",1936,"tr_4","93051",51,"GZ","Male",15108
"M_4_1","75","C","educ|2","ct_9","O","554a","CDI",1917,"tr_2","93077",35,"GZ","Female",16838
"M_4_1","93","C","educ|2","ct_9","O","636d","CDI",1820,"tr_1","94003",47,"IZ","Male",21205
"M_3_1","95","C","educ|2","ct_9","O","643a","CDI",1872,"tr_4","95491",25,"NZ","Male",13809
"M_1_2","06","C","educ|3","ct_7","O","563c","CDI",1392,"tr_1","06088",47,"TZ","Female",18994
"M_4_1","33","C","educ|3","ct_7","O","563c","CDI",1056,"tr_1","33273",47,"TZ","Female",9416
"M_4_2","38","P","educ|3","ct_9","O","684a","CDD",190,"tr_5","38205",20,"NZ","Female",2082
"M_4_1","38","P","educ|3","ct_9","O","561f","CDI",1709,"tr_1","38387",52,"IZ","Female",12513
"M_3_2","44","P","educ|3","ct_6","O","563c","CDI",410,"tr_4","44012",44,"SZ","Female",10453
"M_4_1","54","C","educ|3","ct_9","O","623d","CDI",1792,"tr_1","54395",41,"CM","Male",13630
"M_4_1","59","P","educ|3","ct_9","O","562a","CDI",1462,"tr_1","59249",51,"GZ","Female",15404
"M_4_1","59","C","educ|3","ct_9","O","564a","CDI",2027,"tr_3","59653",49,"LZ","Female",22081
"M_4_1","62","C","educ|3","ct_9","O","625f","CDI",1820,"tr_1","62413",59,"CA","Male",23953
"M_4_3","62","P","educ|3","ct_7","O","563b","CDI",770,"tr_0","62608",61,"QB","Female",9078
"M_4_1","63","C","educ|3","ct_2","O","621f","AUT",1847,"tr_5","63113",31,"OZ","Male",21228
"M_3_2","67","P","educ|3","ct_1","O","524b","AUT",1486,"tr_6","67368",56,"OZ","Female",17050
"M_4_1","69","C","educ|3","ct_9","O","543g","CDI",1820,"tr_2","69388",48,"JC","Female",18261
"M_1_2","75","C","educ|3","ct_7","O","563a","CDI",1211,"tr_0","75111",52,"TZ","Female",8738
"M_3_2","75","C","educ|3","ct_7","O","563c","CDI",143,"tr_1","75119",55,"TZ","Female",1869
"M_4_1","92","C","educ|3","ct_7","O","563a","CDI",331,"tr_1","92012",61,"TZ","Female",2008
"M_4_1","93","D","educ|3","ct_7","O","563a","CDI",632,"tr_1","93013",42,"QB","Female",7362
